grid_point, analysis_value, analysis_increment
grid_point, analysis_value, analysis_increment
grid_point, analysis_value, analysis_increment
[14, 12],5599.007757767193,-1.7836860491861444
[14, 13],5630.950274207662,28.519445566861577
[14, 14],5629.9903770761075,27.658829295878604
[14, 15],5584.528835493411,-17.39633253897864
[14, 16],5569.902269139683,-33.0323642499734
[14, 17],5576.366405793743,-31.757754874995044
[14, 18],5582.565980346058,-39.38492014469284
[14, 19],5617.802230891166,-28.441445916245357
[14, 20],5677.064108957274,2.5138734014017245
[14, 21],5702.58887797415,2.5595130229949064
[15, 0],5121.186580048377,-105.65515229321682
[15, 1],5196.522299126397,-80.72860001451318
[15, 2],5296.183662232311,-56.368686651036114
[15, 3],5415.286982356673,-3.988693296017118
[15, 4],5455.931642968682,-3.618416084332239
[15, 5],5486.349046175983,-2.561901274133561
[15, 6],5513.44440532164,-6.655246845670263
[15, 7],5542.348138142939,-10.266063535410467
[15, 8],5580.708009700375,0.022570720649127907
[15, 9],5600.951787918539,-1.2364683284131388
[15, 10],5628.377118838246,10.51737094319924
[15, 11],5624.418156677491,-4.019601040593443
[15, 12],5639.341584832218,4.263712842029236
[15, 13],5668.837380600945,29.250216619020648
[15, 14],5671.596474401298,28.367285836173323
[15, 15],5614.078399832698,-32.62695384329345
[15, 16],5617.178395837176,-33.953041052559456
[15, 17],5633.109484806154,-25.279765963656246
[15, 18],5654.255626681342,-17.141451796066576
[15, 19],5683.980435193181,-8.14311887535132
[15, 20],5718.6493975254725,2.2215339811709782
[15, 21],5740.622979518717,2.2651866618953136
[16, 0],5161.806839941192,-84.6058754959131
[16, 1],5233.2789233866715,-66.38793234770947
[16, 2],5317.677364247593,-50.57418398498248
[16, 3],5421.490487855073,-5.142737556178872
[16, 4],5462.052953901385,-4.776164985813921
[16, 5],5499.1404296747,-4.05351384788446
[16, 6],5537.552630771858,-5.160276508721836
[16, 7],5553.700346638836,-24.82283647143049
[16, 8],5586.554328344639,-19.259510216167655
[16, 9],5611.328534393655,-15.053834764905332
[16, 10],5650.4685658547405,8.420229522314912
[16, 11],5662.999650101274,9.428731264731141
[16, 12],5672.35302477618,9.686485315450227
[16, 13],5688.576889002808,17.142900650471347
[16, 14],5694.331103529792,14.05646082253952
[16, 15],5676.7969806054625,-11.69006047129642
[16, 16],5664.06075198911,-32.23536879930907
[16, 17],5704.366494732063,-0.7119482719954249
[16, 18],5712.1640335066795,-4.7382782608001435
[16, 19],5753.910107156723,20.376707411004645
[16, 20],5809.980399394801,57.151106261524546
[16, 21],5829.865144468352,59.681345190055254
[17, 0],5218.299698573165,-53.32778481201058
[17, 1],5327.383546937002,3.7404818982349752
[17, 2],5382.343641612256,-0.6959372073442864
[17, 3],5430.996292308717,-4.96804340973722
[17, 4],5475.475895252872,-5.594562656882772
[17, 5],5511.736818694688,-16.069675308282967
[17, 6],5545.485604051234,-27.582550303286553
[17, 7],5575.586604117862,-30.56819336024182
[17, 8],5596.995167740453,-31.41884375394966
[17, 9],5625.9576284188615,-19.861612373592834
[17, 10],5670.728422884631,10.119634503800626
[17, 11],5684.629831446683,11.202130651414336
[17, 12],5695.333751072773,9.288091935428383
[17, 13],5707.465198648772,7.753966174658672
[17, 14],5727.0329812214895,13.989344663690645
[17, 15],5747.455866569099,23.126219663012307
[17, 16],5756.3053119803335,22.500870750180184
[17, 17],5765.752402790045,22.9504396270313
[17, 18],5775.74682232053,22.912123739120034
[17, 19],5792.875590049183,27.65843019705426
[17, 20],5835.079066798407,55.86576991405491
[17, 21],5850.24513339468,58.33948742564735
[18, 0],5278.190610389587,-18.500133855487547
[18, 1],5350.7821109712795,5.712154537608512
[18, 2],5400.493929732547,1.1650906987124472
[18, 3],5450.935610439754,-3.336309931438336
[18, 4],5494.795655265864,-12.868780126718775
[18, 5],5540.319221812601,-19.178555112259346
[18, 6],5569.057891625489,-32.36906523492053
[18, 7],5597.525275346692,-30.986702007964595
[18, 8],5629.072999745325,-17.595805280197055
[18, 9],5644.162804035483,-17.791261699157076
[18, 10],5683.401687432624,7.017548290052218
[18, 11],5697.762151345343,6.838468072083742
[18, 12],5713.302178204972,6.12457363894373
[18, 13],5731.935942854016,7.271943997387098
[18, 14],5752.768859423426,12.5808604326985
[18, 15],5775.57832334634,23.285412264688603
[18, 16],5784.691168424575,22.6556516593746
[18, 17],5792.046473526075,21.409930929436996
[18, 18],5802.3368316319065,23.467213645010816
[18, 19],5815.28925276201,27.87437095358291
[18, 20],5840.404345159673,43.96960916163971
[18, 21],5857.643197292986,52.67671112721382
[19, 0],5309.049996304627,-12.962435304465544
[19, 1],5375.203298579558,7.226036517599823
[19, 2],5426.4351844419925,2.9123529586668155
[19, 3],5469.166373742363,-16.472996415309353
[19, 4],5524.142731372791,-19.179213853881265
[19, 5],5560.167935755934,-29.681235429193293
[19, 6],5592.795856154957,-30.390145996964748
[19, 7],5622.712933634864,-22.9380548748004
[19, 8],5650.342855278523,-12.073260934889731
[19, 9],5679.118303134769,1.8388796508679661
[19, 10],5701.320689067317,9.276127638881007
[19, 11],5716.863509203707,8.425780393118657
[19, 12],5735.517896581675,7.827092840321711
[19, 13],5756.3557986477745,9.148409098262164
[19, 14],5771.206358322798,8.336866429411202
[19, 15],5796.628106891667,22.190553741182157
[19, 16],5816.9350724375745,33.17290225614033
[19, 17],5825.955945257712,34.23636219146647
[19, 18],5828.923557344486,30.56267629526519
[19, 19],5832.954562863376,29.13309917033348
[19, 20],5844.424480935913,35.86953318185533
[19, 21],5852.906926520295,39.73077560745878
[20, 0],5320.075505346632,-30.95785406473351
[20, 1],5371.104791486786,-27.248600527383132
[20, 2],5449.807340280101,-8.499021796547822
[20, 3],5501.854338246752,-21.45033410026008
[20, 4],5551.405929324906,-24.35522249295809
[20, 5],5582.0765993430305,-30.32300184493306
[20, 6],5618.587278168567,-20.233613389226775
[20, 7],5638.905179231586,-20.420213194371172
[20, 8],5670.819921697755,-5.648531919984634
[20, 9],5696.37850676252,4.407219278072262
[20, 10],5717.066915278984,9.48694249026903
[20, 11],5738.816677884109,13.037778522897497
[20, 12],5759.834762452456,12.445717433562095
[20, 13],5778.3010985136525,10.333394231161947
[20, 14],5792.667943590342,9.513510669500647
[20, 15],5820.840076044504,26.982383222088174
[20, 16],5837.362497262753,35.012772985034644
[20, 17],5843.167278391163,33.888801417367176
[20, 18],5845.132792946111,30.763520065357625
[20, 19],5846.781355702984,29.243927084142342
[20, 20],5844.8189972784,25.715912994683094
[20, 21],5840.998234928356,20.919293911817476
[21, 0],5326.377356080745,-53.945021715676376
[21, 1],5373.985112078659,-57.191005104436044
[21, 2],5453.603040612537,-38.11435200538472
[21, 3],5525.667617341567,-25.50468101038041
[21, 4],5570.905249243492,-24.522002482101016
[21, 5],5613.559075398383,-12.072125888255869
[21, 6],5653.7733306128675,4.67941614801839
[21, 7],5664.593801884409,-5.125128249575937
[21, 8],5694.777919805616,6.580965051387466
[21, 9],5711.570775550186,6.71920871992188
[21, 10],5732.802367235149,11.413756283389375
[21, 11],5751.830339633362,11.062422033198345
[21, 12],5775.923439063663,12.141305484151417
[21, 13],5796.296504009478,11.097185021493715
[21, 14],5809.74124362674,9.301524658725612
[21, 15],5820.08529492482,9.296559916697333
[21, 16],5850.62899651651,32.02912479614224
[21, 17],5855.494880285072,30.96870882060557
[21, 18],5855.971520164985,27.611684295681698
[21, 19],5857.362580696662,27.27070535272742
[21, 20],5853.848617744798,23.916334580540934
[21, 21],5847.752105352747,19.401945988676744
[22, 0],5336.3067147995735,-68.02707256183749
[22, 1],5405.9554525145295,-51.59937063529833
[22, 2],5482.731926279864,-31.560383163569895
[22, 3],5552.977975926558,-12.64122786668031
[22, 4],5584.740236270179,-19.28296882685754
[22, 5],5633.751641751954,2.1177802230176894
[22, 6],5669.25331026104,14.615034022087457
[22, 7],5681.2828389489405,4.692400547813122
[22, 8],5703.327097055526,6.158485527938865
[22, 9],5721.745396186506,6.28858686834883
[22, 10],5738.274422071806,5.428516549165579
[22, 11],5761.115073340662,8.712430055607001
[22, 12],5786.269834390016,10.938621614038311
[22, 13],5804.558969856554,7.481120965485388
[22, 14],5820.996346585403,8.141658873599226
[22, 15],5831.6681767271375,8.176195378747252
[22, 16],5848.538425500911,17.23164646811074
[22, 17],5864.601078078327,27.427833334175375
[22, 18],5868.178740211529,27.12963230797959
[22, 19],5867.774651328478,24.827746218795255
[22, 20],5863.729563443803,20.660442194887764
[22, 21],5858.132987054137,16.71677753325912
[23, 0],5366.044961485563,-58.00834961577675
[23, 1],5435.870138654591,-41.42316550729447
[23, 2],5512.848632644927,-15.783396445359358
[23, 3],5560.473183597751,-12.151580866417135
[23, 4],5606.964580366774,0.18565129842409078
[23, 5],5642.143420406808,9.050944165252076
[23, 6],5675.654550933195,19.25678561550012
[23, 7],5697.3132098754295,17.1613910659471
[23, 8],5721.344902260397,17.923583847213195
[23, 9],5739.936975768171,16.12096557905079
[23, 10],5749.059869704577,7.015218348936287
[23, 11],5771.3435372660115,10.197035887018501
[23, 12],5795.4123384738505,12.46658937396387
[23, 13],5812.234697889478,7.87158072125203
[23, 14],5827.097745051522,6.392831845403634
[23, 15],5847.003022130341,15.08367377880495
[23, 16],5859.427817888236,19.201063453774623
[23, 17],5864.302881338278,17.363108855650353
[23, 18],5866.40687061963,14.035901330928937
[23, 19],5875.477242910526,18.948333661488505
[23, 20],5875.789479236304,16.3039204609222
[23, 21],5874.361465708727,13.102473190533601
[24, 0],5347.217066101914,-94.06855430061478
[24, 1],5481.272853658735,-10.224387586476041
[24, 2],5528.350301703817,-8.719137745548323
[24, 3],5573.249213566631,-2.1582492358784293
[24, 4],5604.37011459945,-2.151564759617031
[24, 5],5643.011843603587,11.029306552595699
[24, 6],5668.76386969428,13.082075167328185
[24, 7],5693.460679641291,12.25587166179048
[24, 8],5721.933314942333,14.604231310348041
[24, 9],5745.213145268834,15.16142690536526
[24, 10],5756.939358033716,7.806106868625648
[24, 11],5784.347807152516,16.678390511611724
[24, 12],5799.659066990802,11.478436844620774
[24, 13],5817.14142814906,8.119117275871758
[24, 14],5831.866038489357,6.007508312934988
[24, 15],5837.591227502764,-0.2642469474931204
[24, 16],5857.3977533177285,10.39533652146838
[24, 17],5868.977927324544,14.203534477178437
[24, 18],5872.576964746474,11.081624288044623
[24, 19],5872.027425003027,5.085664781970991
[24, 20],5874.138278984537,3.1773663752383072
[24, 21],5876.266879170789,2.5876319898934526
[25, 0],5402.484619698985,-53.33355485121774
[25, 1],5499.680935021244,0.2716570696202325
[25, 2],5537.507239413643,-1.776339994709815
[25, 3],5574.038044914954,-0.14238387015848275
[25, 4],5605.633295811283,1.6496579665681566
[25, 5],5636.305848718703,6.938754417632481
[25, 6],5662.882087069333,9.225579642024059
[25, 7],5692.788866550092,11.987622370917961
[25, 8],5721.410799212804,11.794278851820309
[25, 9],5748.914490534336,14.315103858572911
[25, 10],5771.902974481677,17.432041336945076
[25, 11],5791.309245276907,18.79523539793172
[25, 12],5806.820683375704,14.788502788991536
[25, 13],5820.57448994674,7.987365253473399
[25, 14],5829.790138346793,-0.41982394576825754
[25, 15],5842.245164943507,-1.1496424812457917
[25, 16],5855.296980739782,1.6984170065416038
[25, 17],5867.96650959363,6.064393200318591
[25, 18],5874.528610932865,6.16558957910911
[25, 19],5877.495331181888,4.601139315677756
[25, 20],5879.846885413453,4.078469845014297
[25, 21],5880.807118078939,3.3309804869368236
[26, 0],5435.322793831729,-31.870209596036148
[26, 1],5501.04414021884,-0.34597134281648323
[26, 2],5535.836459592642,0.49240445309533243
[26, 3],5571.127483116241,2.5099446378480934
[26, 4],5603.053147364236,3.9712888506674062
[26, 5],5630.848183855653,5.284492452964514
[26, 6],5658.297108145388,7.4256958380747164
[26, 7],5690.408888265072,10.833484689878787
[26, 8],5721.532581410506,10.670032675676339
[26, 9],5752.290492304988,14.354485828157522
[26, 10],5775.814201922564,17.343878588361804
[26, 11],5794.364961607049,18.290023700999882
[26, 12],5810.172138822514,15.10793385931538
[26, 13],5827.123692126988,10.93379769398598
[26, 14],5834.270402717089,-1.183567546501763
[26, 15],5848.246537035511,-1.8960713674541694
[26, 16],5863.83492561625,3.0324919335371305
[26, 17],5879.096753995587,10.795157791781094
[26, 18],5878.835162233537,5.633609553208771
[26, 19],5881.579610193034,5.42982042427775
[26, 20],5882.649841090055,4.8242396674895645
[26, 21],5882.706876207521,3.950227380699289
[27, 0],5466.349856047971,-9.23184044105983
[27, 1],5498.940050539246,-0.9254294277779991
[27, 2],5527.043065884098,-0.12460611458118365
[27, 3],5559.673771358724,0.6183691560408988
[27, 4],5595.027992416197,3.3623871992576824
[27, 5],5624.8259748124165,4.363177194586569
[27, 6],5652.252909604667,5.414517412842542
[27, 7],5682.863625785539,6.707938658560124
[27, 8],5719.0807675995375,9.965830340128377
[27, 9],5751.827559300767,13.259366558984766
[27, 10],5776.408027728582,15.909328138155615
[27, 11],5795.301290812294,16.965541646999554
[27, 12],5811.986725664411,14.185653218662992
[27, 13],5831.580647190928,10.469846577731914
[27, 14],5841.2626360017075,-1.7025514147399008
[27, 15],5870.933406738713,12.587835507624732
[27, 16],5882.048661497584,14.293389017501795
[27, 17],5888.211548468911,14.994325687107448
[27, 18],5882.390565562747,6.117286432568108
[27, 19],5883.846160109123,5.90743018275225
[27, 20],5884.099434689067,5.259730943111208
[27, 21],5883.649798767363,4.31688873661642
grid_point, analysis_value, analysis_increment
[0, 0],5328.267200320165,10.083786106053594
[0, 1],5344.7745056626445,9.835995660481785
[0, 2],5376.85650803102,23.825022381553936
[0, 3],5405.952623316468,30.909145840728343
[0, 4],5425.63326551535,28.355614232596963
[0, 5],5457.662284811285,40.66334346879012
[0, 6],5476.008617062079,41.252005849735724
[0, 7],5487.553225746752,37.60743129727234
[0, 8],5494.237847908824,32.864067177540164
[0, 9],5496.096374988613,25.886250337484853
[0, 10],5497.122243760279,17.829317289164464
[0, 11],5509.628023185571,19.234668896021503
[0, 12],5532.957854848181,28.961836469557056
[0, 13],5556.942778645728,35.979243485187
[0, 14],5591.139135659651,50.07051939763278
[0, 15],5615.432460593977,54.69589102187274
[0, 16],5642.78264892745,65.38657356571548
[0, 17],5644.580438751769,51.62560226422647
[0, 18],5654.198452403503,44.92061068566454
[0, 19],5659.695034335883,36.30980505127627
[0, 20],5659.826889973499,27.72583316228338
[0, 21],5660.528527358222,24.170356802187598
[1, 0],5298.109624607395,-6.859277891588135
[1, 1],5314.879475571572,-7.763697524638701
[1, 2],5327.353265151059,-13.00878536437267
[1, 3],5365.064495331871,3.773924356751195
[1, 4],5400.065009021207,16.325953759688673
[1, 5],5415.669130079137,10.661464450229687
[1, 6],5443.043859311737,18.376181609089144
[1, 7],5477.487933797147,35.51314782847021
[1, 8],5485.9478902411,30.744942118019026
[1, 9],5486.547607513203,21.77480102070149
[1, 10],5491.579604464031,18.082007011900714
[1, 11],5503.096257939577,19.6549853298975
[1, 12],5525.275118615239,29.99544893535858
[1, 13],5547.421446001773,37.51258539490573
[1, 14],5580.269105308856,52.58574456682436
[1, 15],5599.7658701449145,53.015359997233645
[1, 16],5624.35544265022,58.480874429881624
[1, 17],5641.096513131966,54.739766368074925
[1, 18],5654.6571774211325,47.755401766551586
[1, 19],5655.398341175583,33.058947410755536
[1, 20],5662.241480585028,31.15078567272576
[1, 21],5662.494465130787,27.106792435128227
[2, 0],5261.845933355794,-28.920701190090767
[2, 1],5276.838567095327,-29.763441824240545
[2, 2],5301.28512446233,-21.43738740167555
[2, 3],5318.848282807727,-23.865487369365837
[2, 4],5348.015377131172,-17.909968896882674
[2, 5],5384.2646408800365,-4.421834663890877
[2, 6],5415.118113414676,5.538894576081475
[2, 7],5443.5787666513725,15.223159153219967
[2, 8],5469.360975610883,26.43804973200713
[2, 9],5473.237783096509,20.511248066073676
[2, 10],5477.542123733724,16.917027288407553
[2, 11],5487.548377488289,18.52272410696878
[2, 12],5507.446406448474,28.678065717406753
[2, 13],5518.9319118370395,28.05640992050212
[2, 14],5535.721709497644,29.355073404012728
[2, 15],5563.78311923999,38.64145214243854
[2, 16],5592.499618344635,44.960981422927034
[2, 17],5627.566076278896,53.68694435402267
[2, 18],5632.597851763691,33.41528532322263
[2, 19],5651.084913753219,34.02406347595752
[2, 20],5659.217640226259,31.99071332708172
